號碼,選區,選民人數,投票率,黃潤達,尹兆堅,高志輝,周永勤,鄭松泰,鄺官穩,田北辰,何君堯,梁志祥,郭家麒,黃浩銘,李卓人,黃俊傑,麥美娟,馮檢基,陳恒鑌,張慧晶,呂智恆,湯詠芝,朱凱廸,總有效,無效,非建制,建制,得票率差,黃潤達%,尹兆堅%,高志輝%,周永勤%,鄭松泰%,鄺官穩%,田北辰%,何君堯%,梁志祥%,郭家麒%,黃浩銘%,李卓人%,黃俊傑%,麥美娟%,馮檢基%,陳恒鑌%,張慧晶%,呂智恆%,湯詠芝%,朱凱廸%
S25*,盛康,9871,53.12%,167.340320232897,285.498107714702,3.31120815138282,4.65560407569141,379.000291120815,2.65560407569141,750.105094614265,135.157787481805,48.7344978165939,292.498107714702,270.742940320233,263.037554585153,73.7676855895196,286.332168850073,157.979330422125,1422.55225618632,46.4896652110626,7.31120815138282,33.9502183406114,503.045997088792,5134.16564774382,109.402620087336,47.41%,51.68%,-4.27%,3.26%,5.56%,0.06%,0.09%,7.38%,0.05%,14.61%,2.63%,0.95%,5.70%,5.27%,5.12%,1.44%,5.58%,3.08%,27.71%,0.91%,0.14%,0.66%,9.80%
S26*,青衣南,9830,56.43%,136.11683343143,263.707376888366,6.8356876594075,9.47753580537571,590.57259172062,2.47753580537571,384.410829899941,226.85883853247,60.68550127526,365.590543456935,243.756131057485,240.652148322543,150.296546988425,344.419854816559,121.803609966647,1569.15038257799,26.34275063763,9.95507161075142,22.3876790268786,644.822935059839,5420.32038453993,126.430056896213,51.47%,48.05%,3.42%,2.51%,4.87%,0.13%,0.17%,10.90%,0.05%,7.09%,4.19%,1.12%,6.74%,4.50%,4.44%,2.77%,6.35%,2.25%,28.95%,0.49%,0.18%,0.41%,11.90%
S27*,長亨,8976,59.39%,118.88316656857,418.292623111634,6.16431234059251,3.52246419462429,439.42740827938,3.52246419462429,327.589170100059,316.14116146753,49.31449872474,299.409456543065,234.243868942515,211.347851677457,90.7034530115754,600.580145183441,109.196390033353,1328.84961742201,24.65724936237,7.04492838924858,17.6123209731214,596.177064940161,5202.67961546007,128.569943103787,48.87%,50.66%,-1.79%,2.29%,8.04%,0.12%,0.07%,8.45%,0.07%,6.30%,6.08%,0.95%,5.75%,4.50%,4.06%,1.74%,11.54%,2.10%,25.54%,0.47%,0.14%,0.34%,11.46%
S28*,青發,11900,60.73%,211.623993650074,620.324526590316,6.62580791472956,8.73364327021204,629.958612087538,2.03594511849416,815.557772990135,305.421249574782,107.976981517179,721.422270098651,317.06179838984,377.442453792947,158.905091280191,514.721737158408,240.328155119628,989.458215217145,51.0571493366595,5.07189023698832,28.8055335072004,1010.06928223155,7122.60210908267,104.29402426579,60.67%,38.62%,22.05%,2.97%,8.71%,0.09%,0.12%,8.84%,0.03%,11.45%,4.29%,1.52%,10.13%,4.45%,5.30%,2.23%,7.23%,3.37%,13.89%,0.72%,0.07%,0.40%,14.18%
S29,長安,9843,53.08%,140,358,1,3,409,1,312,201,79,303,203,227,374,312,109,1394,33,2,9,679,5149,76,54.63%,44.73%,9.90%,2.72%,6.95%,0.02%,0.06%,7.94%,0.02%,6.06%,3.90%,1.53%,5.88%,3.94%,4.41%,7.26%,6.06%,2.12%,27.07%,0.64%,0.04%,0.17%,13.19%
T01*,大嶼山,7150,51.28%,118.317513060472,140.167775835512,5.10955308696193,4.32340809916298,190.709236784456,7.35331628034733,368.174770523946,136.796287585718,1068.51733356935,196.685999512607,281.943365560689,125.672943185719,41.0449950169709,292.981023058353,59.8281453643114,85.5555919786525,13.4088103718985,6.26020091997718,19.4129684023138,409.433492743829,3571.69673094125,95.1268061196059,44.50%,55.12%,-10.62%,3.31%,3.92%,0.14%,0.12%,5.34%,0.21%,10.31%,3.83%,29.92%,5.51%,7.89%,3.52%,1.15%,8.20%,1.68%,2.40%,0.38%,0.18%,0.54%,11.46%
T02,逸東邨北,9135,50.88%,68,272,6,10,480,3,273,139,46,202,210,169,79,1533,91,360,8,2,22,597,4570,78,47.96%,51.86%,-3.89%,1.49%,5.95%,0.13%,0.22%,10.50%,0.07%,5.97%,3.04%,1.01%,4.42%,4.60%,3.70%,1.73%,33.54%,1.99%,7.88%,0.18%,0.04%,0.48%,13.06%
T03,逸東邨南,11368,49.52%,113,354,11,2,758,7,283,104,98,274,337,203,104,1067,90,609,23,6,14,1066,5523,106,60.09%,39.49%,20.60%,2.05%,6.41%,0.20%,0.04%,13.72%,0.13%,5.12%,1.88%,1.77%,4.96%,6.10%,3.68%,1.88%,19.32%,1.63%,11.03%,0.42%,0.11%,0.25%,19.30%
T04*,東涌北,7763,62.17%,58.9466223089048,303.57510489086,3.89044691303807,9.72611728259517,214.172727722354,2.91783518477855,1041.66716096594,264.550390086589,119.631242575921,736.83277886131,183.716972862753,177.822310631863,51.0870726677175,228.563756140987,128.700125374442,610.800165346977,12.6407150098597,11.789324461781,15.7190992823746,615.009759422907,4791.75972799395,34.2198715527012,52.12%,47.62%,4.50%,1.23%,6.34%,0.08%,0.20%,4.47%,0.06%,21.74%,5.52%,2.50%,15.38%,3.83%,3.71%,1.07%,4.77%,2.69%,12.75%,0.26%,0.25%,0.33%,12.83%
T05,東涌南,10793,55.65%,106,302,7,5,506,10,657,210,73,615,252,264,111,403,198,1171,13,10,15,1001,5929,77,57.01%,42.77%,14.24%,1.79%,5.09%,0.12%,0.08%,8.53%,0.17%,11.08%,3.54%,1.23%,10.37%,4.25%,4.45%,1.87%,6.80%,3.34%,19.75%,0.22%,0.17%,0.25%,16.88%
T06,愉景灣,4464,55.73%,26,240,2,1,99,0,377,146,50,396,142,104,20,55,108,330,4,4,8,362,2474,14,60.99%,38.84%,22.15%,1.05%,9.70%,0.08%,0.04%,4.00%,0.00%,15.24%,5.90%,2.02%,16.01%,5.74%,4.20%,0.81%,2.22%,4.37%,13.34%,0.16%,0.16%,0.32%,14.63%
