號碼,選區,選民人數,投票率,吳文遠,何志光,毛孟靜,梁美芬,譚國僑,朱韶洪,黃毓民,黃碧雲,林依麗,蔣麗芸,關新偉,劉小麗,游蕙禎,李泳漢,狄志遠,總有效,無效,非建制,建制,其他,得票率差,吳文遠%,何志光%,毛孟靜%,梁美芬%,譚國僑%,朱韶洪%,黃毓民%,黃碧雲%,林依麗%,蔣麗芸%,關新偉%,劉小麗%,游蕙禎%,李泳漢%,狄志遠%
F17,荔枝角北,4585,60.04%,95,3,291,455,222,7,204,213,7,459,6,412,224,3,114,2715,38,61.92%,33.89%,4.20%,28.03%,3.50%,0.11%,10.72%,16.76%,8.18%,0.26%,7.51%,7.85%,0.26%,16.91%,0.22%,15.17%,8.25%,0.11%,4.20%
F18,元州及蘇屋,10426,55.54%,154,7,424,348,502,14,522,388,12,2061,17,664,355,31,135,5634,157,54.54%,43.06%,2.40%,11.48%,2.73%,0.12%,7.53%,6.18%,8.91%,0.25%,9.27%,6.89%,0.21%,36.58%,0.30%,11.79%,6.30%,0.55%,2.40%
F19,李鄭屋,9266,54.95%,146,4,528,1217,710,13,398,290,18,481,16,689,327,23,125,4985,107,63.11%,34.38%,2.51%,28.73%,2.93%,0.08%,10.59%,24.41%,14.24%,0.26%,7.98%,5.82%,0.36%,9.65%,0.32%,13.82%,6.56%,0.46%,2.51%
F20,下白田,7898,51.56%,168,7,320,802,362,12,350,215,17,483,14,613,307,18,245,3933,139,60.74%,33.03%,6.23%,27.71%,4.27%,0.18%,8.14%,20.39%,9.20%,0.31%,8.90%,5.47%,0.43%,12.28%,0.36%,15.59%,7.81%,0.46%,6.23%
F21,又一村,5918,67.37%,80,4,576,670,126,4,181,433,8,628,15,660,205,7,351,3948,39,57.85%,33.26%,8.89%,24.59%,2.03%,0.10%,14.59%,16.97%,3.19%,0.10%,4.58%,10.97%,0.20%,15.91%,0.38%,16.72%,5.19%,0.18%,8.89%
F22,南山、大坑東及大坑西,9000,56.24%,83,2,296,1086,1702,12,325,160,6,382,10,482,240,9,134,4929,133,67.30%,29.99%,2.72%,37.31%,1.68%,0.04%,6.01%,22.03%,34.53%,0.24%,6.59%,3.25%,0.12%,7.75%,0.20%,9.78%,4.87%,0.18%,2.72%
F23,龍坪及上白田,8401,58.17%,108,9,496,1050,701,8,305,311,6,573,15,619,306,11,267,4785,102,60.19%,34.23%,5.58%,25.96%,2.26%,0.19%,10.37%,21.94%,14.65%,0.17%,6.37%,6.50%,0.13%,11.97%,0.31%,12.94%,6.39%,0.23%,5.58%
G01*,馬頭圍,10104,58.51%,168.016316750342,5.58865814696486,659.597215883158,666.729689639434,365.736649931538,13.7568461889548,451.321428571429,488.485737106344,12.7568461889548,1520.14742126883,11.7568461889548,829.072455499772,382.423779096303,16.0091282519398,200.789479689639,5792.18849840256,119.493496120493,58.57%,37.96%,3.47%,20.62%,2.90%,0.10%,11.39%,11.51%,6.31%,0.24%,7.79%,8.43%,0.22%,26.24%,0.20%,14.31%,6.60%,0.28%,3.47%
G02*,馬坑涌,7798,56.14%,129.116816788827,5.06698618552125,531.865624735096,475.736341637844,114.238733077359,14.7435785113779,381.47643298042,440.262377380925,8.21478205690575,831.349272941625,6.83546178862095,661.248442131361,403.660558243901,15.4729787494832,264.692387917981,4283.98077512725,93.536874108691,63.15%,30.67%,6.18%,32.48%,3.01%,0.12%,12.42%,11.11%,2.67%,0.34%,8.90%,10.28%,0.19%,19.41%,0.16%,15.44%,9.42%,0.36%,6.18%
G03*,馬頭角,6524,55.98%,105.817250213493,1.98407344150299,393.507899231426,574.058582408198,91.9287361229718,7.93629376601196,279.754355251922,325.38804440649,7.93629376601196,814.13146883006,9.25900939368062,518.504526046115,290.997438087105,10.5817250213493,148.14415029889,3579.92984628523,72.0880017079419,56.83%,39.04%,4.14%,17.79%,2.96%,0.06%,10.99%,16.04%,2.57%,0.22%,7.81%,9.09%,0.22%,22.74%,0.26%,14.48%,8.13%,0.30%,4.14%
