號碼,選區,選民人數,投票率,方國珊,林卓廷,廖添誠,陳雲根,梁國雄,張超雄,楊岳橋,麥嘉晉,鄭家富,葛珮帆,侯志強,李梓敬,鄧家彪,范國威,陳玉娥,黃琛喻,李偲嫣,陳志全,梁頌恆,梁金成,容海恩,陳克勤,總有效,無效,非建制,建制,其他,方國珊%,林卓廷%,廖添誠%,陳雲根%,梁國雄%,張超雄%,楊岳橋%,麥嘉晉%,鄭家富%,葛珮帆%,侯志強%,李梓敬%,鄧家彪%,范國威%,陳玉娥%,黃琛喻%,李偲嫣%,陳志全%,梁頌恆%,梁金成%,容海恩%,陳克勤%
R15*,雲城,9627,64.29%,342.205482835268,531.464559150408,6.77500617436404,213.089404791307,353.366263274883,578.868115584095,572.914546801679,126.650037046184,185.191158310694,517.187700666831,15.5267967399358,371.407261052112,212.460854531983,273.903679920968,3.38750308718202,14.8214373919486,21.9375154359101,475.085947147444,338.382316621388,2.04643121758459,790.730797727834,191.764386268214,6139.16720177822,49.8982464806125,57.65%,34.60%,7.75%,5.57%,8.66%,0.11%,3.47%,5.76%,9.43%,9.33%,2.06%,3.02%,8.42%,0.25%,6.05%,3.46%,4.46%,0.06%,0.24%,0.36%,7.74%,5.51%,0.03%,12.88%,3.12%
R16*,徑口,12159,58.41%,298.500721110537,658.740575149569,12.5180767826124,275.340830530776,447.994326218818,636.337018715881,649.807820681087,109.436010018232,208.756547893252,568.569608579663,24.3179857654124,314.799061743229,310.486376273817,256.216358110884,6.38834668700386,21.3508944359572,37.8554486715299,552.636420335323,390.40969668976,5.98803514799659,972.577022571667,272.045216774334,7031.07239888734,70.6876817342675,58.36%,35.66%,5.98%,4.25%,9.37%,0.18%,3.92%,6.37%,9.05%,9.24%,1.56%,2.97%,8.09%,0.35%,4.48%,4.42%,3.64%,0.09%,0.30%,0.54%,7.86%,5.55%,0.09%,13.83%,3.87%
R17*,田心,8702,53.88%,188.913163335631,257.881461061337,4.99770273374684,224.896623018608,362.833218470021,401.815299793246,361.833677923271,24.9885136687342,105.951297955433,303.860326211808,76.9646220997014,126.94164943717,299.86216402481,217.899839191362,3.99816218699747,9.99540546749368,22.9894325752355,369.830002297266,305.859407305307,2.9986216402481,867.601194578452,105.951297955433,4648.86308293131,39.9816218699747,56.40%,38.89%,4.71%,4.06%,5.55%,0.11%,4.84%,7.80%,8.64%,7.78%,0.54%,2.28%,6.54%,1.66%,2.73%,6.45%,4.69%,0.09%,0.22%,0.49%,7.96%,6.58%,0.06%,18.66%,2.28%
R18*,翠嘉,9639,56.48%,287.804646896973,268.159278508102,7.85814735554876,223.95719963314,379.155609905228,429.251299296851,366.386120452461,37.3261999388566,166.985631305411,480.329257107918,25.5389789055335,168.950168144298,337.900336288597,763.222561907674,9.82268419443595,1.96453683888719,18.6630999694283,367.368388871905,319.237236319168,1.96453683888719,531.407214918985,160.109752369306,5353.3628859676,90.3686945888108,61.41%,32.37%,6.22%,5.38%,5.01%,0.15%,4.18%,7.08%,8.02%,6.84%,0.70%,3.12%,8.97%,0.48%,3.16%,6.31%,14.26%,0.18%,0.04%,0.35%,6.86%,5.96%,0.04%,9.93%,2.99%
R19,大圍,12339,60.02%,301,382,7,258,430,574,630,64,208,2098,24,171,382,444,1,17,28,483,429,3,200,111,7245,161,53.25%,41.61%,5.13%,4.15%,5.27%,0.10%,3.56%,5.94%,7.92%,8.70%,0.88%,2.87%,28.96%,0.33%,2.36%,5.27%,6.13%,0.01%,0.23%,0.39%,6.67%,5.92%,0.04%,2.76%,1.53%
R20,松田,8254,62.61%,239,354,11,183,279,479,491,88,189,701,16,242,188,236,1,14,27,358,321,3,576,135,5131,37,56.66%,36.76%,6.59%,4.66%,6.90%,0.21%,3.57%,5.44%,9.34%,9.57%,1.72%,3.68%,13.66%,0.31%,4.72%,3.66%,4.60%,0.02%,0.27%,0.53%,6.98%,6.26%,0.06%,11.23%,2.63%
R21,穗禾,8074,67.30%,212,441,10,196,318,488,789,115,142,935,17,269,129,192,2,20,30,435,239,1,252,153,5385,49,60.56%,33.18%,6.26%,3.94%,8.19%,0.19%,3.64%,5.91%,9.06%,14.65%,2.14%,2.64%,17.36%,0.32%,5.00%,2.40%,3.57%,0.04%,0.37%,0.56%,8.08%,4.44%,0.02%,4.68%,2.84%
R22,火炭,7926,64.21%,180,327,4,154,273,541,537,194,137,664,29,356,132,185,0,10,42,428,229,0,457,176,5055,34,55.81%,36.72%,7.48%,3.56%,6.47%,0.08%,3.05%,5.40%,10.70%,10.62%,3.84%,2.71%,13.14%,0.57%,7.04%,2.61%,3.66%,0.00%,0.20%,0.83%,8.47%,4.53%,0.00%,9.04%,3.48%
R23,駿馬,6383,71.16%,174,384,8,108,205,516,454,185,142,553,11,383,118,191,1,13,13,265,171,1,419,202,4517,25,54.24%,37.64%,8.12%,3.85%,8.50%,0.18%,2.39%,4.54%,11.42%,10.05%,4.10%,3.14%,12.24%,0.24%,8.48%,2.61%,4.23%,0.02%,0.29%,0.29%,5.87%,3.79%,0.02%,9.28%,4.47%
R24,頌安,11580,65.55%,192,442,20,253,412,1022,594,134,211,1815,9,330,204,240,3,22,24,527,646,2,277,148,7527,64,58.07%,37.33%,4.60%,2.55%,5.87%,0.27%,3.36%,5.47%,13.58%,7.89%,1.78%,2.80%,24.11%,0.12%,4.38%,2.71%,3.19%,0.04%,0.29%,0.32%,7.00%,8.58%,0.03%,3.68%,1.97%
